,Profit,slope_3_bars,slope_10_bars,slope_30_bars,slope_75_bars,slope_200_bars,num_of_succsess_buy_before,num_of_success_sell_before,num_of_fail_buy_before,num_of_fail_sell_before,num_of_succsess_op_buy_before,num_of_success_op_sell_before,num_of_fail_op_buy_before,num_of_fail_op_sell_before,opposite_ind,forcast_value
0,4.33,0.918143448557711,-0.14480415309987524,-0.047435445483337974,0.23657540174991853,0.31613483575696016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,4.33,0.918143448557711,-0.4620869373042991,-0.4747394625251874,-0.6752216065909203,-0.515284049381938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,4.34,0.9204544968648602,-0.1446053699130135,-0.16939025710775196,-0.26023848947466355,-0.7469703768715283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,-4.35,-1.0878464820478253,0.04435456791428042,-0.14821309150260348,0.6946737372157694,0.46878910171846055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,-4.33,-1.083224385433527,0.6641888936968497,0.9109897163810841,0.7557359359807589,0.776840841716872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-4.34,-1.0855354337406762,-2.350567052918417,-2.336442250195317,-1.7645835347382144,-1.513567777765409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,-4.35,-1.0878464820478253,-0.3307672009686005,-2.032647508716273,-1.4932405278915086,-1.1009157485850092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.35,0.9227655451720095,1.203257893949486,1.0980340363816867,1.0176068068615434,1.1680934289330591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,-4.35,-1.0878464820478253,-1.067828045861937,-1.718005602183227,-1.0852331672401667,-1.5702738416313342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9,-4.34,-1.0855354337406762,-0.3752868742214778,-1.237733119800853,-0.5869749981381687,-0.6717917901609579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,-4.34,-1.0855354337406762,0.37574331748257633,0.4829352645888757,0.080696709783502,0.3118834086954479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11,4.34,0.9204544968648602,-0.5478647951554445,-1.6357892852435088,0.012691778137657463,0.5392238937277593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-4.35,-1.0878464820478253,-0.25883775218441996,-0.280645214472967,-0.2394291856722647,0.9132835113112135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,4.34,0.9204544968648602,0.8396640536441448,0.7595948198907495,-0.021020035875474637,1.3331673022386494,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,4.34,0.9204544968648602,-0.012958531095200876,0.0049857287200736206,-0.49176321094009673,0.04483654850376941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,-4.34,-1.0855354337406762,-0.23051517798474325,-0.32172782161517255,0.026208964061046884,0.1454624070926772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,4.34,0.9204544968648602,0.4620443278336288,0.30958461201008186,0.3805051230117931,0.42301825326371056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,-4.34,-1.0855354337406762,-0.6923539176207307,-1.085243612880559,-1.0090750932241344,-0.036285081417601575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4.34,0.9204544968648602,-0.3314112912122607,-0.08734454983185387,0.5373730813681257,-0.05646001094176923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,4.34,0.9204544968648602,-0.31708782943096936,0.27951832956545125,0.13535417939676517,-0.7020540449445561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,4.34,0.9204544968648602,0.3771760566784475,0.31087373632113735,0.39509258012341963,0.42372754752938235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,-4.35,-1.0878464820478253,0.01612051248217771,-0.1886471594920019,0.572655258169177,0.5451345234970609,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22,-4.35,-1.0878464820478253,0.07465481936172773,-0.014805625787063601,-0.22550414058932827,0.2929467953988713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,4.35,0.9227655451720095,1.2473912327570023,0.8127088222149011,0.32804154591194495,0.7031260563475861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,-4.35,-1.0878464820478253,0.09035599785501182,0.03707852004389571,-0.6148126173327652,-0.9559059141444628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,4.35,0.9227655451720095,0.0023550361438143567,0.35287322082904554,0.9161827993568716,0.15653414677552407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26,-4.36,-1.0901575303549749,-0.19943513544688424,0.50682651614976,-0.2731337751876861,0.4099656317047842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,4.36,0.9250765934791589,0.36660653278746314,1.0399616264724942,1.5814547307091151,0.4209261668475372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,4.36,0.9250765934791589,0.11992938593131104,-0.23865058682899315,-1.0931076907807802,-0.09604109876818993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
29,-4.36,-1.0901575303549749,-0.2710373620481157,-0.4531927388471827,-0.01287356227240444,0.3399122399496618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,4.36,0.9250765934791589,-0.37206702150735244,-0.16640736836952702,-0.16320259666751283,0.36073128809987015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-4.36,-1.0901575303549749,-0.29916737750435696,-0.6987131656560382,-0.45771155354051957,-0.9676771829072489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,-4.36,-1.0901575303549749,-0.6479455062941007,0.04786005408438726,-1.4498115383975338,-1.256254840761506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,4.36,0.9250765934791589,0.9906867668926969,0.6621586962581799,-0.8205352854129493,-0.8613386209135695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34,4.36,0.9250765934791589,-1.3436726752624848,-0.2690572016956762,-0.7725183536869904,-0.9067939213416428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,4.36,0.9250765934791589,0.19379262165705055,0.642403620412951,-0.07412852419991044,0.2948600045378254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,-4.36,-1.0901575303549749,-0.6912998919170512,-1.0668747986250684,-0.08107056006273346,-0.557060009179498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,-4.36,-1.0901575303549749,1.1363250373253075,0.27329912233670417,0.6106909952867415,-0.19222137050269505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
38,-4.35,-1.0878464820478253,1.2945283443211066,1.0506480504470752,1.0623879642419127,0.1623735883408367,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
39,4.35,0.9227655451720095,-1.024625101745557,-1.5567979259560667,-1.4966821957122727,-1.447695127077362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
40,4.35,0.9227655451720095,0.3066114368163446,0.03653930960213966,-0.2732242462444157,-0.5364238908585879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,-4.34,-1.0855354337406762,-0.5478778624966122,-0.8308908311898517,-0.4031182190053691,-0.021013865461338783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,-4.34,-1.0855354337406762,-0.43252009287365334,0.20792829595472936,0.3123688694010423,-0.5409223492185988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,4.34,0.9204544968648602,1.0844356031054097,1.278774541176023,1.0289810673603217,-0.010847128316505998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,4.34,0.9204544968648602,-2.2651589708971067,-2.0217625164350506,-1.6015147250045347,-0.4198457225091141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45,4.34,0.9204544968648602,-0.7643401844013168,1.1669634376956814,0.6813789659787473,-0.015846603480782203,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
46,-4.35,-1.0878464820478253,-0.3744294571394884,-0.49469427513997516,0.4151602473205378,-0.026022401322948082,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
47,-4.35,-1.0878464820478253,1.4037383987529597,0.3723488087911305,1.2892728344702984,0.7574611331176885,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
48,4.35,0.9227655451720095,-0.09880238400677754,0.31188501985942657,1.2222888364390156,1.820267740316746,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
49,4.34,0.9204544968648602,-0.3021291552179561,-0.10729420994751147,-0.5053652823567967,0.5859960852529058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,4.34,0.9204544968648602,-0.20095042831871213,-0.19904787316645656,-0.5735343240725423,-1.0250267794880712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,-4.34,-1.0855354337406762,-0.18654108118821966,-0.45393464241045745,-0.32127651866843293,-0.44003965229466396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52,4.34,0.9204544968648602,0.1597107614762435,-0.10762085868334945,0.3060918735132735,-0.359256951044666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,-4.35,-1.0878464820478253,-0.5332316274134103,0.04557120416341929,-0.20530995520022755,-0.24313792080293095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,4.34,0.9204544968648602,-0.04173738492822892,0.17843336372101906,0.6885849644541461,-0.1925810571688821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
55,-4.35,-1.0878464820478253,-0.5042742597349348,-0.688340959661197,0.18353424159971538,-0.07643494248700498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,4.35,0.9227655451720095,0.23327145334120836,0.33177479273109606,0.2863166147997695,0.7475940337219211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
57,-4.34,-1.0855354337406762,-0.02742677103657408,-0.1378076758207458,0.02671982176357556,-0.12190878979283712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,4.34,0.9204544968648602,-0.07152499759912069,-0.015996627368782726,-0.23272455980266085,-0.5914405985182087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,-4.34,-1.0855354337406762,0.95415862064475,0.6364648724401346,0.4355593654302285,0.2769090332880143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,4.34,0.9204544968648602,-0.1003030135263029,-0.9224832183704501,-0.6960484488740719,-0.3895263692895122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,-4.33,-1.083224385433527,-0.07243883367473165,0.36010710436190246,0.3119914906516543,0.5843529602259115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,-4.33,-1.083224385433527,-0.6204903441961465,-0.5662049518173731,-0.028837808961450224,-0.9237045236537911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-4.34,-1.0855354337406762,-0.23151954779198589,0.21674630549064222,-0.6277066973929755,-0.3440848168479236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,-4.33,-1.083224385433527,-0.6780792738300305,-0.1488504105958294,-0.5256923721301197,0.40273096830255917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,4.34,0.9204544968648602,-0.1301134092561467,0.23791814966226293,-0.2670307606522184,0.5944913574067223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
66,4.35,0.9227655451720095,1.7338303294236672,0.9726523764218672,1.0559328896661138,0.12035598902232875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,-4.35,-1.0878464820478253,3.3836021019780294,2.1366244685853686,1.8350565187473238,0.6967625591148123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,4.34,0.9204544968648602,-3.9957188121400744,-2.9478333624501296,-2.397585622259906,-1.1966876332770533,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
69,4.34,0.9204544968648602,-3.9646375127434466,-2.072341193551976,-1.4788955294442525,-0.7627808542844641,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
70,4.34,0.9204544968648602,1.1132499083357734,-1.3701063409778815,-0.859373798920202,-0.3340272544795789,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
71,4.34,0.9204544968648602,0.6644620310524622,-0.7391684067566163,-0.3554812374601867,-0.04145009043030702,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
72,4.34,0.9204544968648602,0.663699776134396,0.024315709309199445,-0.2328590089295488,-0.11209152771996836,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
73,4.34,0.9204544968648602,1.1857541405800776,1.024138315721692,0.8859084239604981,0.7215000484681914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,4.34,0.9204544968648602,-0.4178919924669727,-0.31134469119594615,-0.3144880057367537,-0.08163221148829068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,-4.34,-1.0855354337406762,-0.07206991570088109,-0.07749449190460002,-1.1319425873295963,-0.9191154862209794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,4.34,0.9204544968648602,0.34676813432980685,0.5439394183473866,-0.23959641348498495,-0.545953672838628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,-4.33,-1.083224385433527,0.3023161319490527,0.7060722215700043,0.43441478646827564,0.9226372758184275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,-4.33,-1.083224385433527,0.27260057918090513,0.5015016053888881,1.272255346438988,1.1997098847983612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
79,4.33,0.918143448557711,-0.5344378527289495,-1.6433167908374515,-1.5996851845386382,-1.632809770205422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
80,-4.33,-1.083224385433527,-0.30401643838506937,-0.09889317273874527,-0.1992608276939686,-1.683249849193244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,-4.32,-1.080913337126378,-0.7219394154315167,-0.7693301371359529,-1.5162739879767417,-1.349134500643863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.32,0.9158324002505619,-0.07458542875100076,0.38763475330068486,0.010969757412788434,-0.9927417641318669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,-4.33,-1.083224385433527,0.1556353071427949,-0.1197901465674259,0.7037244410088436,-0.6055553305033179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
84,4.32,0.9158324002505619,0.3569970295443081,-0.028446458975989044,-0.2878114961344651,-0.590463961367715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,4.32,0.9158324002505619,-0.24740602317804117,-0.5056005390774424,0.010884495152974153,0.59188202305257,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
86,4.32,0.9158324002505619,0.6162512628477179,0.3879438469370276,0.024689775583508985,-0.5653736488786922,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
87,4.32,0.9158324002505619,-0.6356519911252507,-0.43456873510608535,-0.06380512199525967,0.5566712882996165,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
88,4.32,0.9158324002505619,-0.47734476385442515,-0.6171619012065032,-0.42363915514490713,-0.9474334646247294,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
89,-4.33,-1.083224385433527,0.40044188904847267,-0.11967763625855132,0.18771570928905384,-0.2082291534933536,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0
90,-4.33,-1.083224385433527,-0.0882526706040062,0.7034544845324285,0.7997805148461617,0.3958076887728092,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0
91,4.33,0.918143448557711,-0.21738896395635682,1.5886035207961886,1.2766026102283323,0.909938391137524,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
92,-4.34,-1.0855354337406762,0.3737391264998259,1.4471968705704343,1.828438652784387,0.8953470622876131,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
93,-4.34,-1.0855354337406762,1.3256599779189042,1.9057397718671494,2.1491696258261253,1.1125231328942695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
94,-4.34,-1.0855354337406762,0.02831862608543435,-1.734822725840022,-2.8328343785327124,-1.480803780049031,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
95,4.33,0.918143448557711,-1.4422317693351907,1.1531110282514914,2.060887535387876,1.2991391384530204,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
96,4.33,0.918143448557711,0.17217852116075505,0.2576985656671483,-0.7023856897258015,-1.5054827340890773,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
97,-4.34,-1.0855354337406762,-0.10165814668073571,-0.7086102295794547,-0.6413552147004337,1.409582677622757,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98,4.34,0.9204544968648602,1.4275672240508488,0.3904686841337293,-0.08312491710145899,1.9652907368326331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
99,4.33,0.918143448557711,-0.505139537171764,-1.501442389420172,-0.307886830529936,-2.108317161135481,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
100,4.33,0.918143448557711,0.4753029708859404,0.6343323431485139,-0.13768889210679938,1.4605283700272713,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
101,4.34,0.9204544968648602,0.6928193982948813,1.1851628248281358,0.8639801801567313,1.0986932025510454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
102,-4.34,-1.0855354337406762,0.434204367451031,0.11670457994139925,0.251433292438824,0.7009954602239636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,4.35,0.9227655451720095,-1.472169127750822,-1.3711325329767685,-1.5138580763817886,-1.891538296433622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
104,-4.35,-1.0878464820478253,0.45039655876999146,0.6686885597664487,1.5562617768922657,1.733627057598809,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
105,-4.35,-1.0878464820478253,1.9998247970520442,1.7623316291309314,2.288855750602181,2.2765751508910257,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
106,4.35,0.9227655451720095,2.986776437022371,2.9086923103332065,2.584923701333855,3.043079691843724,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
107,4.35,0.9227655451720095,0.7134787649302322,2.7458792786803454,2.291474861791807,3.023506186158549,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
108,-4.35,-1.0878464820478253,-0.34432262229146143,0.9778378599931628,-2.1624492924421608,-2.4674005341479845,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
